particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.037559979585551455,0.08749998608378909,0.998598512875609,-0.0009040377474715001,-1021.0867856716083,-0.923912866448101,-0.923912866448101,-748.1835839867513,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
1,1,0.032559968840043446,0.092499996714502,0.997898141981359,-0.00020174936423767337,57.96472227360921,0.14407924887822998,0.14407924887822998,49.974783841476196,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
2,1,0.032559974752766896,0.09749999890483302,0.9982874155170572,-6.725018216333644e-05,58.46332180437635,0.5443936474136157,0.5443936474136157,50.3460802835085,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
3,1,0.03755998917818,0.09249999639849901,0.9992267524877485,-0.0002326358162876298,-1024.4268107634837,0.23177087929877793,0.23177087929877793,-754.6649019785496,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
4,1,0.0375599917724576,0.09749999879950118,0.9993939609223339,-7.754532114188455e-05,-1023.9834288348914,0.616043254091232,0.616043254091232,-754.3347250370837,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
5,1,0.03255997475277208,0.10250000109515321,0.9982874161290369,6.724856693494313e-05,58.46331704637249,-0.5443847389252282,-0.5443847389252282,50.34607562550107,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
6,1,0.03255996884005935,0.10750000328547563,0.9978981438173118,0.00020174684278205106,57.964700919389394,-0.14723909299248084,-0.14723909299248084,49.97476035974944,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
7,1,0.037559991772461485,0.10250000120049657,0.9993939613876871,7.7545081566762e-05,-1023.9834317315017,-0.6160351266117194,-0.6160351266117194,-754.3347271624277,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
8,1,0.037559989178192456,0.10750000360149725,0.9992267538838279,0.00023263537480188842,-1024.4268318693078,-0.2351443764360215,-0.2351443764360215,-754.6649250252287,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
9,1,0.03755997958556336,0.11250001391620765,0.9985985142701838,0.0009040373400621439,-1021.0867910964256,0.923915953054571,0.923915953054571,-748.1835828921843,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
10,1,0.04255998958550714,0.08249998125607266,0.9992574256882879,-0.0012131949486835927,54.83309237143218,0.19088171139676008,0.19088171139676008,53.327402525462816,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
