particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.03751400093418874,0.0874999999566683,0.9999812218613943,-1.23603044725484e-05,-58.858735851469476,-0.002712337895062627,-0.002712337895062627,-43.79298945849464,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
1,1,0.0325140009009531,0.09249999998875558,0.9999717390628757,-3.1996396227558733e-06,0.1806903051097354,0.0005934001280209863,0.0005934001280209863,0.15630485826483717,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
2,1,0.032514000918906355,0.09749999999625378,0.9999768641317651,-1.0665466058785115e-06,0.18262275593667837,0.001718836264384297,0.001718836264384297,0.15774391737970353,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
3,1,0.037514000963622854,0.09249999998869064,0.9999896210856222,-3.226295507764644e-06,-58.86831703683073,0.0008571755323478435,0.0008571755323478435,-43.81243317627675,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
4,1,0.03751400097182971,0.09749999999623225,0.9999919605120257,-1.0754318418289154e-06,-58.86642602567997,0.0019712225652703244,0.0019712225652703244,-43.81102497649449,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
5,1,0.032514000918906355,0.10250000000374623,0.9999768641318695,1.0665463329811627e-06,0.18262275574035222,-0.0017188359138687647,-0.0017188359138687647,0.15774391718834282,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
6,1,0.0325140009009531,0.10750000001124442,0.9999717390631949,3.1996391937241314e-06,0.18069030455876836,-0.0005958255810381658,-0.0005958255810381658,0.15630485774181213,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
7,1,0.03751400097182971,0.10250000000376776,0.9999919605121053,1.0754318062715993e-06,-58.86642602580185,-0.0019712222459650516,-0.0019712222459650516,-43.81102497658615,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
8,1,0.037514000963622854,0.10750000001130935,0.999989621085852,3.226295436500182e-06,-58.86831703731561,-0.0008596114584983866,-0.0008596114584983866,-43.81243317671067,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
9,1,0.03751400093418874,0.11250000004333172,0.9999812218616281,1.2360304405702498e-05,-58.85873585169815,0.0027123380156012346,0.0027123380156012346,-43.79298945846488,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
10,1,0.04251400096456383,0.08249999994132795,0.9999898907385665,-1.6736155575646553e-05,0.17029461191639597,0.0007116884590618755,0.0007116884590618755,0.16593043162727994,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
