particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.03753199922038586,0.08749999883174715,0.9997787873168306,-0.00014493540607662492,-303.2135599794182,-0.07422117422603311,-0.07422117422603311,-224.77320749241952,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
1,1,0.03253199832264811,0.09249999970338893,0.999667295099214,-3.628781420029067e-05,4.867483991233739,0.01493545078453635,0.01493545078453635,4.207604607902982,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
2,1,0.03253199880973748,0.09749999990113158,0.9997279561761643,-1.2095947275594293e-05,4.9170585156220605,0.04612045847212077,0.04612045847212077,4.244521798698724,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
3,1,0.03753200001671414,0.09249999969548094,0.9998777988005955,-3.7734645582036256e-05,-303.4774280530803,0.022322981447737266,0.022322981447737266,-225.3021377159237,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
4,1,0.037532000236998715,0.09749999989849564,0.999905060082076,-1.2578216098632934e-05,-303.43038556373205,0.052801699443679455,0.052801699443679455,-225.26710608269843,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
5,1,0.03253199880973755,0.10250000009886824,0.9997279561909913,1.2095908740022673e-05,4.917058453050502,-0.046120345215090515,-0.046120345215090515,4.2445217375754645,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
6,1,0.032531998322648324,0.10750000029661087,0.9996672951437384,3.628775369175159e-05,4.867483771416734,-0.015083110461639144,-0.015083110461639144,4.207604381424285,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
7,1,0.03753200023699875,0.10250000010150435,0.9999050600931584,1.2578210916893778e-05,-303.4303856025189,-0.0528015962514469,-0.0528015962514469,-225.2671061116676,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
8,1,0.03753200001671429,0.107500000304519,0.9998777988338241,3.77346353988761e-05,-303.4774282565612,-0.022473500091499128,-0.022473500091499128,-225.3021379198037,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
9,1,0.037531999220385984,0.11250000116825283,0.999778787350056,0.00014493539656047132,-303.2135600527608,0.07422121368640511,0.07422121368640511,-224.77320748213725,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
10,1,0.04253200004378693,0.08249999841934613,0.9998813140042858,-0.00019596122562244876,4.593846187608573,0.018474693835216167,0.018474693835216167,4.474513470158914,0.0,0.0,0.0,0.0,0.001,1.0,1000,10000000.0,0.3
