particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.18998219072818756,0.19754379987716675,-0.007005123421549797,0.040356796234846115,112934.671875,74061.0859375,-377466.59375,260011.34375,0.0,0.0,0.0,0.0,2.501675953681115e-05,0.02500000037252903,999.330078125,100000000.0,0.30000001192092896
1,1,0.19496400654315948,0.19252976775169373,-0.017715618014335632,0.030196107923984528,-11158.2607421875,58261.76953125,-72787.90625,-1164.5325927734375,0.0,0.0,0.0,0.0,2.499910260667093e-05,0.02500000037252903,1000.035888671875,100000000.0,0.30000001192092896
2,1,0.19497805833816528,0.19752931594848633,-0.00780045660212636,0.02966873161494732,-46080.0390625,58036.6328125,-181321.125,-28340.310546875,0.0,0.0,0.0,0.0,2.499797301425133e-05,0.02500000037252903,1000.0811157226562,100000000.0,0.30000001192092896
3,1,0.18998219072818756,0.20254716277122498,0.004701558500528336,0.041606318205595016,-59590.43359375,396244.375,-407511.03125,164312.078125,0.0,0.0,0.0,0.0,2.4999882953125052e-05,0.02500000037252903,1000.0046997070312,100000000.0,0.30000001192092896
4,1,0.19497807323932648,0.20253027975559235,0.004414781928062439,0.03001146763563156,30848.59375,433444.1875,-278712.375,89515.6015625,0.0,0.0,0.0,0.0,2.500828486518003e-05,0.02500000037252903,999.6687622070312,100000000.0,0.30000001192092896
5,1,0.19499711692333221,0.20753256976604462,0.018874304369091988,0.03113115392625332,12585.853515625,431934.125,-365062.84375,74336.15625,0.0,0.0,0.0,0.0,2.5007670046761632e-05,0.02500000037252903,999.6932983398438,100000000.0,0.30000001192092896
6,1,0.1999645084142685,0.1925196647644043,-0.016447285190224648,0.020431576296687126,203129.796875,47856.4140625,-163843.03125,3551.43212890625,0.0,0.0,0.0,0.0,2.5009840101120062e-05,0.02500000037252903,999.6065673828125,100000000.0,0.30000001192092896
7,1,0.19997704029083252,0.19751733541488647,-0.007317041512578726,0.018861163407564163,138269.46875,47808.84375,-192603.578125,-45008.61328125,0.0,0.0,0.0,0.0,2.5004423150676303e-05,0.02500000037252903,999.8231201171875,100000000.0,0.30000001192092896
8,1,0.20497438311576843,0.19750000536441803,-0.008518795482814312,0.005397583823651075,-127801.1171875,363065.125,-300306.75,-121250.7578125,0.0,0.0,0.0,0.0,2.4987322831293568e-05,0.02500000037252903,1000.50732421875,100000000.0,0.30000001192092896
9,1,0.19997704029083252,0.202516570687294,0.0038901157677173615,0.018562084063887596,39961.0,403597.875,-222746.046875,-30618.8359375,0.0,0.0,0.0,0.0,2.5001023459481075e-05,0.02500000037252903,999.9591064453125,100000000.0,0.30000001192092896
10,1,0.1999933272600174,0.20751743018627167,0.017142632976174355,0.019458172842860222,-385827.28125,403000.875,-254214.921875,-348081.4375,0.0,0.0,0.0,0.0,2.4963776013464667e-05,0.02500000037252903,1001.4511108398438,100000000.0,0.30000001192092896
11,1,0.20497438311576843,0.20250000059604645,0.00653216615319252,0.004297608509659767,70845.75,242601.125,-246796.109375,-3211.368408203125,0.0,0.0,0.0,0.0,2.5002791517181322e-05,0.02500000037252903,999.8883666992188,100000000.0,0.30000001192092896
