particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.18998761475086212,0.19770103693008423,0.014457364566624165,0.16462872922420502,166450.21875,709896.625,-1535030.5,317881.75,0.0,0.0,0.0,0.0,2.5022158297360875e-05,0.02500000037252903,999.1144409179688,100000000.0,0.30000001192092896
1,1,0.19491682946681976,0.19264495372772217,-0.03230590000748634,0.11819502711296082,34978.04296875,737569.625,-706027.75,1218.389892578125,0.0,0.0,0.0,0.0,2.5000883397297002e-05,0.02500000037252903,999.9646606445312,100000000.0,0.30000001192092896
2,1,0.1949819177389145,0.19764336943626404,0.01564192585647106,0.11778147518634796,-107231.1328125,722311.625,-874724.5625,-132504.625,0.0,0.0,0.0,0.0,2.498974572517909e-05,0.02500000037252903,1000.4103393554688,100000000.0,0.30000001192092896
3,1,0.1900269091129303,0.2027096301317215,0.07074714452028275,0.1717853546142578,-182920.671875,1258959.875,-1507002.75,195640.453125,0.0,0.0,0.0,0.0,2.499558831914328e-05,0.02500000037252903,1000.176513671875,100000000.0,0.30000001192092896
4,1,0.1950221061706543,0.20264475047588348,0.06910017877817154,0.11820881068706512,105382.609375,1312994.5,-1008438.75,216613.53125,0.0,0.0,0.0,0.0,2.5018172891577706e-05,0.02500000037252903,999.2736206054688,100000000.0,0.30000001192092896
5,1,0.19509971141815186,0.20764850080013275,0.12732627987861633,0.11875328421592712,-63019.1640625,1276283.75,-1108538.125,59670.55859375,0.0,0.0,0.0,0.0,2.5003275368362665e-05,0.02500000037252903,999.8690185546875,100000000.0,0.30000001192092896
6,1,0.19992147386074066,0.19259069859981537,-0.029239779338240623,0.07505620270967484,747239.5625,673580.6875,-762846.1875,292391.9375,0.0,0.0,0.0,0.0,2.504952863091603e-05,0.02500000037252903,998.0227661132812,100000000.0,0.30000001192092896
7,1,0.19998249411582947,0.1975841373205185,0.014569156803190708,0.0717000961303711,3136.356689453125,664263.5625,-801740.5625,-270176.78125,0.0,0.0,0.0,0.0,2.498664071026724e-05,0.02500000037252903,1000.53466796875,100000000.0,0.30000001192092896
8,1,0.20497500896453857,0.19750922918319702,0.013123717159032822,0.01494340505450964,-305260.78125,1208060.875,-1126757.75,-267469.78125,0.0,0.0,0.0,0.0,2.4972037863335572e-05,0.02500000037252903,1001.1197509765625,100000000.0,0.30000001192092896
9,1,0.2000202238559723,0.2025812715291977,0.06804917752742767,0.06767639517784119,-251497.046875,1225835.5,-893696.5,-205625.625,0.0,0.0,0.0,0.0,2.4978584406198934e-05,0.02500000037252903,1000.8573608398438,100000000.0,0.30000001192092896
10,1,0.2000945657491684,0.2075807750225067,0.12533468008041382,0.06704074144363403,-275898.65625,1243394.125,-1083691.25,-246505.78125,0.0,0.0,0.0,0.0,2.497360219422262e-05,0.02500000037252903,1001.0570678710938,100000000.0,0.30000001192092896
11,1,0.20502148568630219,0.2025090456008911,0.07050023227930069,0.012421051040291786,180943.5625,1169162.125,-1091880.375,-63334.33984375,0.0,0.0,0.0,0.0,2.5005096176755615e-05,0.02500000037252903,999.7962036132812,100000000.0,0.30000001192092896
