particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.18998219072818756,0.19750000536441803,-0.0005251239635981619,0.0021837311796844006,18845.353515625,-55738.625,-28834.849609375,115160.9765625,0.0,0.0,0.0,0.0,2.5005383577081375e-05,0.02500000037252903,999.7847290039062,100000000.0,0.30000001192092896
1,1,0.19497832655906677,0.19249999523162842,-5.380131915444508e-05,0.001619819668121636,-17953.74609375,-73373.0703125,79960.984375,-2673.329345703125,0.0,0.0,0.0,0.0,2.4999428205774166e-05,0.02500000037252903,1000.0228881835938,100000000.0,0.30000001192092896
2,1,0.19497805833816528,0.19750000536441803,-0.0006607308750972152,0.0017538375686854124,-42763.73046875,-73252.9921875,16898.193359375,-21143.05078125,0.0,0.0,0.0,0.0,2.4999450033647008e-05,0.02500000037252903,1000.0220336914062,100000000.0,0.30000001192092896
3,1,0.18998219072818756,0.20250000059604645,0.0002017622464336455,0.0029003331437706947,7961.68408203125,85139.0703125,-20126.486328125,109012.9140625,0.0,0.0,0.0,0.0,2.5001398171298206e-05,0.02500000037252903,999.944091796875,100000000.0,0.30000001192092896
4,1,0.19497807323932648,0.20250000059604645,9.788613533601165e-05,0.0019413168774917722,-38124.87109375,103863.890625,-45487.5234375,-13927.755859375,0.0,0.0,0.0,0.0,2.4999651941470802e-05,0.02500000037252903,1000.013916015625,100000000.0,0.30000001192092896
5,1,0.19497832655906677,0.20749999582767487,0.0022220320533961058,0.0021821833215653896,-16613.453125,103848.9609375,-107196.5859375,2086.38916015625,0.0,0.0,0.0,0.0,2.5001147150760517e-05,0.02500000037252903,999.9541625976562,100000000.0,0.30000001192092896
6,1,0.19997720420360565,0.19249999523162842,-4.2264044168405235e-05,0.0016314036911353469,27588.40234375,-74028.734375,13663.73828125,-59119.9765625,0.0,0.0,0.0,0.0,2.4998675144161098e-05,0.02500000037252903,1000.052978515625,100000000.0,0.30000001192092896
7,1,0.19997704029083252,0.19750000536441803,-0.0005759410560131073,0.0012882817536592484,92560.765625,-73909.3359375,-3969.369140625,-10735.494140625,0.0,0.0,0.0,0.0,2.5003213522722945e-05,0.02500000037252903,999.8714599609375,100000000.0,0.30000001192092896
8,1,0.20497438311576843,0.19750000536441803,-0.00018006778554990888,0.0005073562497273088,-66691.2265625,120312.96875,-53795.57421875,-16992.876953125,0.0,0.0,0.0,0.0,2.4994958948809654e-05,0.02500000037252903,1000.2017211914062,100000000.0,0.30000001192092896
9,1,0.19997704029083252,0.20250000059604645,0.00011989264748990536,0.0010228308383375406,86536.2109375,101970.6484375,-21700.380859375,-9766.0927734375,0.0,0.0,0.0,0.0,2.5002480469993316e-05,0.02500000037252903,999.9008178710938,100000000.0,0.30000001192092896
10,1,0.19997720420360565,0.20749999582767487,0.0020452055614441633,0.0008350349962711334,-8729.30078125,101954.9921875,-39520.69921875,-80709.0703125,0.0,0.0,0.0,0.0,2.4994245904963464e-05,0.02500000037252903,1000.230224609375,100000000.0,0.30000001192092896
11,1,0.20497438311576843,0.20250000059604645,0.0007512287702411413,9.20687016332522e-05,-54747.37109375,-83076.4765625,20276.01953125,-9752.3525390625,0.0,0.0,0.0,0.0,2.499703987268731e-05,0.02500000037252903,1000.118408203125,100000000.0,0.30000001192092896
