particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.18998219072818756,0.1975378394126892,-0.006247472483664751,0.03572504222393036,102496.5703125,52509.03125,-334233.90625,249382.140625,0.0,0.0,0.0,0.0,2.5015842766151763e-05,0.02500000037252903,999.36669921875,100000000.0,0.30000001192092896
1,1,0.19496698677539825,0.19252517819404602,-0.01556855533272028,0.026724636554718018,-10201.8916015625,35781.265625,-50664.73828125,1479.201171875,0.0,0.0,0.0,0.0,2.4999408196890727e-05,0.02500000037252903,1000.023681640625,100000000.0,0.30000001192092896
2,1,0.19497805833816528,0.19752514362335205,-0.006981043145060539,0.026287512853741646,-42590.78515625,35660.0,-156087.4375,-23490.419921875,0.0,0.0,0.0,0.0,2.4998278604471125e-05,0.02500000037252903,1000.0689086914062,100000000.0,0.30000001192092896
3,1,0.18998219072818756,0.20254120230674744,0.0041312845423817635,0.03693613409996033,-50703.265625,364483.75,-361539.25,164108.21875,0.0,0.0,0.0,0.0,2.5000188543344848e-05,0.02500000037252903,999.9924926757812,100000000.0,0.30000001192092896
4,1,0.19497807323932648,0.2025258094072342,0.003847741987556219,0.0266166590154171,25376.291015625,400048.34375,-251664.546875,80720.0859375,0.0,0.0,0.0,0.0,2.500767368474044e-05,0.02500000037252903,999.6931762695312,100000000.0,0.30000001192092896
5,1,0.19499413669109344,0.20752716064453125,0.016871176660060883,0.02764340303838253,11170.5087890625,398917.40625,-337470.3125,68969.875,0.0,0.0,0.0,0.0,2.5007364456541836e-05,0.02500000037252903,999.7055053710938,100000000.0,0.30000001192092896
6,1,0.19996748864650726,0.19251668453216553,-0.01445444393903017,0.018152719363570213,173889.515625,27159.865234375,-141068.65625,-11973.4775390625,0.0,0.0,0.0,0.0,2.500771006452851e-05,0.02500000037252903,999.6917114257812,100000000.0,0.30000001192092896
7,1,0.19997704029083252,0.1975143551826477,-0.00654904730618,0.01673465594649315,131333.25,27180.173828125,-169307.03125,-43826.95703125,0.0,0.0,0.0,0.0,2.5004117560456507e-05,0.02500000037252903,999.8353271484375,100000000.0,0.30000001192092896
8,1,0.20497438311576843,0.19750000536441803,-0.007526291534304619,0.004833629354834557,-117175.328125,332409.65625,-269910.40625,-110476.0390625,0.0,0.0,0.0,0.0,2.49882632488152e-05,0.02500000037252903,1000.4697265625,100000000.0,0.30000001192092896
9,1,0.19997704029083252,0.20251359045505524,0.0033856588415801525,0.016436833888292313,44123.71875,372953.34375,-198784.109375,-31174.939453125,0.0,0.0,0.0,0.0,2.5001327230711468e-05,0.02500000037252903,999.9468994140625,100000000.0,0.30000001192092896
10,1,0.19999034702777863,0.2075144499540329,0.015324234962463379,0.017205331474542618,-347931.59375,372566.90625,-229460.234375,-323374.0,0.0,0.0,0.0,0.0,2.4966746423160657e-05,0.02500000037252903,1001.3319091796875,100000000.0,0.30000001192092896
11,1,0.20497438311576843,0.20250000059604645,0.005813305266201496,0.0037650689482688904,58745.99609375,204257.71875,-214794.1875,-5879.52392578125,0.0,0.0,0.0,0.0,2.500218033674173e-05,0.02500000037252903,999.9127807617188,100000000.0,0.30000001192092896
