particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.18998219072818756,0.19750000536441803,-0.001882206997834146,0.00916697271168232,39287.03125,-52415.046875,-90131.8203125,165301.828125,0.0,0.0,0.0,0.0,2.500874143152032e-05,0.02500000037252903,999.6504516601562,100000000.0,0.30000001192092896
1,1,0.19497832655906677,0.19249999523162842,-0.003360845148563385,0.006840956397354603,-9380.869140625,-72018.0390625,65107.625,8419.7939453125,0.0,0.0,0.0,0.0,2.4999428205774166e-05,0.02500000037252903,1000.0228881835938,100000000.0,0.30000001192092896
2,1,0.19497805833816528,0.19750000536441803,-0.0022183433175086975,0.006880383938550949,-31703.921875,-71897.9140625,-15145.2705078125,-8196.8466796875,0.0,0.0,0.0,0.0,2.4999450033647008e-05,0.02500000037252903,1000.0220336914062,100000000.0,0.30000001192092896
3,1,0.18998219072818756,0.20250171422958374,0.0008647617651149631,0.010075362399220467,-1749.560302734375,163126.0,-94267.453125,142066.859375,0.0,0.0,0.0,0.0,2.5001398171298206e-05,0.02500000037252903,999.944091796875,100000000.0,0.30000001192092896
4,1,0.19497807323932648,0.20250000059604645,0.0006494430708698928,0.0071206968277692795,-13966.189453125,187414.84375,-92831.0546875,19176.240234375,0.0,0.0,0.0,0.0,2.5003009795909747e-05,0.02500000037252903,999.879638671875,100000000.0,0.30000001192092896
5,1,0.19497832655906677,0.20749999582767487,0.005242487415671349,0.00756184384226799,-3527.9560546875,187399.734375,-167950.8125,26943.28125,0.0,0.0,0.0,0.0,2.500400660210289e-05,0.02500000037252903,999.8397827148438,100000000.0,0.30000001192092896
6,1,0.19997720420360565,0.19249999523162842,-0.0031389633659273386,0.005086374003440142,29877.033203125,-72239.484375,-14414.5478515625,-77450.953125,0.0,0.0,0.0,0.0,2.4997762011480518e-05,0.02500000037252903,1000.0895385742188,100000000.0,0.30000001192092896
7,1,0.19997704029083252,0.19750000536441803,-0.002073252573609352,0.004521085415035486,94167.984375,-72119.9765625,-37112.8046875,-29573.751953125,0.0,0.0,0.0,0.0,2.5003213522722945e-05,0.02500000037252903,999.8714599609375,100000000.0,0.30000001192092896
8,1,0.20497438311576843,0.19750000536441803,-0.001887439051643014,0.001500341109931469,-64594.44921875,164113.078125,-98124.65625,-39414.046875,0.0,0.0,0.0,0.0,2.4994133127620444e-05,0.02500000037252903,1000.2347412109375,100000000.0,0.30000001192092896
9,1,0.19997704029083252,0.20250000059604645,0.0005587446503341198,0.004248562268912792,71172.5546875,178090.171875,-60164.83203125,-26099.791015625,0.0,0.0,0.0,0.0,2.500203663657885e-05,0.02500000037252903,999.9185791015625,100000000.0,0.30000001192092896
10,1,0.19997720420360565,0.20749999582767487,0.0047569419257342815,0.004268791992217302,-107990.1171875,178073.546875,-83560.171875,-159519.453125,0.0,0.0,0.0,0.0,2.4986002244986594e-05,0.02500000037252903,1000.5602416992188,100000000.0,0.30000001192092896
11,1,0.20497438311576843,0.20250000059604645,0.0016416152939200401,0.0007758511346764863,-18446.587890625,-22475.990234375,-29599.37109375,-11789.123046875,0.0,0.0,0.0,0.0,2.4997974833240733e-05,0.02500000037252903,1000.0810546875,100000000.0,0.30000001192092896
