particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,-0.010102534666657448,0.2739371061325073,1.0453338623046875,-735.1942749023438,-38782536.0,27418404864.0,-30658490368.0,94052368.0,0.0,0.0,0.0,0.0,6.674557516817003e-05,0.02500000037252903,374.5566711425781,100000000.0,0.30000001192092896
1,1,0.040712304413318634,0.5014773607254028,-3012.473388671875,-9.38165283203125,234531648.0,103807426560.0,-58614710272.0,-178147760.0,0.0,0.0,0.0,0.0,0.00032161211129277945,0.02500000037252903,77.73339080810547,100000000.0,0.30000001192092896
2,1,0.003087057266384363,-0.03224760666489601,0.0,0.0,1043320768.0,18625937408.0,-33994653696.0,668816896.0,0.0,0.0,0.0,0.0,-0.014607630670070648,0.02500000037252903,-1.7114343643188477,100000000.0,0.30000001192092896
3,1,0.0008964124717749655,0.4973955452442169,-953.1083374023438,-48.859405517578125,88381192.0,25590769664.0,-21590800384.0,-244531184.0,0.0,0.0,0.0,0.0,4.196779991616495e-05,0.02500000037252903,595.69482421875,100000000.0,0.30000001192092896
4,1,-0.010773057118058205,0.021990898996591568,2.8937759399414062,-410.614990234375,-150075424.0,21411004416.0,-43317354496.0,130242544.0,0.0,0.0,0.0,0.0,6.842779839644209e-05,0.02500000037252903,365.3486022949219,100000000.0,0.30000001192092896
5,1,-0.009570314548909664,0.166907399892807,45.25898742675781,-1932.481689453125,116451888.0,27264768000.0,-35814830080.0,193808240.0,0.0,0.0,0.0,0.0,0.00015569126117043197,0.02500000037252903,160.57420349121094,100000000.0,0.30000001192092896
6,1,-0.01147137675434351,0.1594851016998291,-139.8336181640625,-230.13137817382812,-343304000.0,23649458176.0,-40273260544.0,-56042540.0,0.0,0.0,0.0,0.0,3.230073707527481e-05,0.02500000037252903,773.9761352539062,100000000.0,0.30000001192092896
7,1,-0.02626848593354225,0.007454954087734222,0.0,0.0,-187851200.0,20726714368.0,-44745228288.0,399181600.0,0.0,0.0,0.0,0.0,-0.0005205527995713055,0.02500000037252903,-48.02587127685547,100000000.0,0.30000001192092896
8,1,0.4027051627635956,0.5024564862251282,-224.59210205078125,-0.0688626766204834,248708736.0,348190474240.0,-79131000832.0,-23507442.0,0.0,0.0,0.0,0.0,0.000414321111747995,0.02500000037252903,60.33967208862305,100000000.0,0.30000001192092896
9,1,0.4926827847957611,0.25894203782081604,-76.102783203125,11190.765625,-62120748.0,51905142784.0,-53815455744.0,58713432.0,0.0,0.0,0.0,0.0,8.636788697913289e-05,0.02500000037252903,289.4594421386719,100000000.0,0.30000001192092896
10,1,-0.011308071203529835,0.17875823378562927,76.18605041503906,-215.36497497558594,-280257344.0,30103605248.0,-39442673664.0,-67251312.0,0.0,0.0,0.0,0.0,4.1330058593302965e-05,0.02500000037252903,604.8866577148438,100000000.0,0.30000001192092896
11,1,-0.0034350056666880846,-0.01423889771103859,0.0,0.0,-340716992.0,22375450624.0,-41755000832.0,-757827328.0,0.0,0.0,0.0,0.0,7.755982369417325e-05,0.02500000037252903,322.33184814453125,100000000.0,0.30000001192092896
