particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.11846250295639038,0.2847200334072113,-12.496294021606445,153.3898162841797,30511662.0,1073154112.0,-1068167296.0,-19835666.0,0.0,0.0,0.0,0.0,2.5532692234264687e-05,0.02500000037252903,979.1369018554688,100000000.0,0.30000001192092896
1,1,0.11856979131698608,0.2751772403717041,-105.23992919921875,151.61276245117188,69097888.0,1021815424.0,-1013866496.0,26897752.0,0.0,0.0,0.0,0.0,3.003392157552298e-05,0.02500000037252903,832.3921508789062,100000000.0,0.30000001192092896
2,1,0.12188930809497833,0.2793223559856415,-66.15654754638672,105.3490219116211,36588152.0,979194560.0,-978525888.0,-2545499.25,0.0,0.0,0.0,0.0,2.6686597266234457e-05,0.02500000037252903,936.7998657226562,100000000.0,0.30000001192092896
3,1,0.12229081243276596,0.2885652482509613,20.493614196777344,107.4125747680664,6962779.5,1037964864.0,-1059410304.0,-28541016.0,0.0,0.0,0.0,0.0,2.400988341832999e-05,0.02500000037252903,1041.2379150390625,100000000.0,0.30000001192092896
4,1,0.12462600320577621,0.2847311496734619,-14.408535957336426,81.18196868896484,19262216.0,988579456.0,-992641024.0,-17663242.0,0.0,0.0,0.0,0.0,2.5093268050113693e-05,0.02500000037252903,996.2831420898438,100000000.0,0.30000001192092896
5,1,0.1297415792942047,0.2888897955417633,19.37946319580078,32.96772384643555,-18289204.0,1041908928.0,-1065464384.0,-54361316.0,0.0,0.0,0.0,0.0,2.179451985284686e-05,0.02500000037252903,1147.077392578125,100000000.0,0.30000001192092896
6,1,0.1230277344584465,0.27230605483055115,-140.37123107910156,95.87422943115234,52508720.0,1068440192.0,-993752256.0,7153445.0,0.0,0.0,0.0,0.0,2.8025018764310516e-05,0.02500000037252903,892.06005859375,100000000.0,0.30000001192092896
7,1,0.12705816328525543,0.2777799367904663,-82.2595443725586,50.38483810424805,46941292.0,966358144.0,-966282176.0,7700325.5,0.0,0.0,0.0,0.0,2.7749274522648193e-05,0.02500000037252903,900.9244384765625,100000000.0,0.30000001192092896
8,1,0.13012322783470154,0.27438604831695557,-118.46958923339844,14.405828475952148,23233390.0,1036905664.0,-1045675392.0,-7120015.0,0.0,0.0,0.0,0.0,2.5793819077080116e-05,0.02500000037252903,969.2244262695312,100000000.0,0.30000001192092896
9,1,0.12928959727287292,0.28278130292892456,-32.5263557434082,31.80902862548828,13034978.0,980613120.0,-977383360.0,-26327770.0,0.0,0.0,0.0,0.0,2.4386308723478578e-05,0.02500000037252903,1025.1654052734375,100000000.0,0.30000001192092896
10,1,0.13320665061473846,0.28539109230041504,-9.201364517211914,-10.504392623901367,4437225.5,1033457472.0,-1043641280.0,-37955464.0,0.0,0.0,0.0,0.0,2.3472492102882825e-05,0.02500000037252903,1065.0765380859375,100000000.0,0.30000001192092896
11,1,0.1336188167333603,0.2787470817565918,-73.16241455078125,-19.598119735717773,6890793.5,1033271104.0,-1038511424.0,-22393660.0,0.0,0.0,0.0,0.0,2.429154483252205e-05,0.02500000037252903,1029.1646728515625,100000000.0,0.30000001192092896
