particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.18998219072818756,0.19750000536441803,0.0011991311330348253,-0.0003135792794637382,8600.6982421875,-6370.64306640625,-6324.02392578125,30989.455078125,0.0,0.0,0.0,0.0,2.5001414542202838e-05,0.02500000037252903,999.9434204101562,100000000.0,0.30000001192092896
1,1,0.19497832655906677,0.19249999523162842,0.001986856572329998,-0.00034194078762084246,-66819.1953125,-16687.1796875,36034.56640625,-58471.10546875,0.0,0.0,0.0,0.0,2.499399852240458e-05,0.02500000037252903,1000.2401123046875,100000000.0,0.30000001192092896
2,1,0.19497805833816528,0.19750000536441803,0.0012522968463599682,-7.379053568001837e-05,-101005.09375,-16567.04296875,11686.1689453125,-83926.375,0.0,0.0,0.0,0.0,2.499110996723175e-05,0.02500000037252903,1000.3557739257812,100000000.0,0.30000001192092896
3,1,0.18998219072818756,0.20250000059604645,0.0012240806827321649,0.000484622607473284,8255.0166015625,7446.68212890625,4633.13671875,30772.3671875,0.0,0.0,0.0,0.0,2.5001398171298206e-05,0.02500000037252903,999.944091796875,100000000.0,0.30000001192092896
4,1,0.19497807323932648,0.20250000059604645,0.001278034644201398,0.0001963307149708271,-100901.9609375,17662.125,-12639.263671875,-83749.1328125,0.0,0.0,0.0,0.0,2.499110996723175e-05,0.02500000037252903,1000.355712890625,100000000.0,0.30000001192092896
5,1,0.19497832655906677,0.20749999582767487,0.0020640643779188395,0.0004683174192905426,-66846.7421875,17647.498046875,-36941.87109375,-58390.75,0.0,0.0,0.0,0.0,2.499400216038339e-05,0.02500000037252903,1000.239990234375,100000000.0,0.30000001192092896
6,1,0.19997720420360565,0.19249999523162842,0.0019421617034822702,0.0004916135221719742,157960.640625,-22772.37109375,7034.43603515625,74824.4921875,0.0,0.0,0.0,0.0,2.501137350918725e-05,0.02500000037252903,999.5452880859375,100000000.0,0.30000001192092896
7,1,0.19997704029083252,0.19750000536441803,0.0012283804826438427,0.00018811531481333077,165533.5625,-22652.5625,2058.084228515625,80464.0703125,0.0,0.0,0.0,0.0,2.5011282559717074e-05,0.02500000037252903,999.5489501953125,100000000.0,0.30000001192092896
8,1,0.20497438311576843,0.19750000536441803,0.0012360024265944958,-0.00031041281181387603,-144236.015625,50574.4765625,-23228.318359375,-79909.640625,0.0,0.0,0.0,0.0,2.4988859877339564e-05,0.02500000037252903,1000.44580078125,100000000.0,0.30000001192092896
9,1,0.19997704029083252,0.20250000059604645,0.0012518118601292372,-0.00011267000809311867,165377.40625,23668.51171875,-2921.200927734375,80506.953125,0.0,0.0,0.0,0.0,2.5011278921738267e-05,0.02500000037252903,999.549072265625,100000000.0,0.30000001192092896
10,1,0.19997720420360565,0.20749999582767487,0.002012450248003006,-0.00041076657362282276,156959.890625,23653.587890625,-7899.7275390625,74238.3828125,0.0,0.0,0.0,0.0,2.5011338948388584e-05,0.02500000037252903,999.546630859375,100000000.0,0.30000001192092896
11,1,0.20497438311576843,0.20250000059604645,0.0012661563232541084,0.0003295447095297277,-143973.828125,-49389.36328125,22157.744140625,-79704.1015625,0.0,0.0,0.0,0.0,2.4989143639686517e-05,0.02500000037252903,1000.4344482421875,100000000.0,0.30000001192092896
