particle_id,object_id,pos_x,pos_y,vel_x,vel_y,stress_xx,stress_xy,stress_yx,stress_yy,strain_xx,strain_xy,strain_yx,strain_yy,volume,mass,density,youngs_modulus,poisson_ratio
0,1,0.19750632455532036,0.2225,1.0,0.0,8.709522632514393e-10,-2.765456516786571e-11,-2.765456516786571e-11,6.485814726340505e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
1,1,0.19750632455532036,0.2275,1.0,0.0,8.777218703498236e-10,1.1169176552050838e-10,1.1169176552050838e-10,6.536226694094432e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
2,1,0.19250632455532035,0.23750000000000002,1.0,0.0,-2.4370585554181594e-10,-1.3618658056665513e-10,-1.3618658056665513e-10,-1.8148308391411826e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
3,1,0.19750632455532036,0.2325,1.0,0.0,8.980306916449762e-10,0.0,0.0,6.687462597356205e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
4,1,0.19750632455532036,0.23750000000000002,1.0,0.0,9.318787271368957e-10,-1.3719932099028297e-10,-1.3719932099028297e-10,6.939522436125819e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
5,1,0.19250632455532035,0.2425,1.0,0.0,-2.3016664134504897e-10,-1.1148246583295863e-10,-1.1148246583295863e-10,-1.714006903633343e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
6,1,0.19250632455532035,0.2475,1.0,0.0,-2.1662742714828135e-10,2.8518770329361512e-11,2.8518770329361512e-11,-1.6131829681254995e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
7,1,0.19750632455532036,0.2425,1.0,0.0,8.709522632514393e-10,-1.1407508131744605e-10,-1.1407508131744605e-10,6.485814726340505e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
8,1,0.19750632455532036,0.2475,1.0,0.0,8.777218703498231e-10,2.765456516786571e-11,2.765456516786571e-11,6.536226694094426e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
9,1,0.19250632455532035,0.2525,1.0,0.0,-2.3016664134504897e-10,-2.8518770329361512e-11,-2.8518770329361512e-11,-1.714006903633343e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
10,1,0.19250632455532035,0.2575,1.0,0.0,-2.1662742714828135e-10,2.8518770329361512e-11,2.8518770329361512e-11,-1.6131829681254995e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
11,1,0.19750632455532036,0.2525,1.0,0.0,8.709522632514393e-10,-2.765456516786571e-11,-2.765456516786571e-11,6.485814726340505e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
12,1,0.19750632455532036,0.2575,1.0,0.0,8.777218703498231e-10,2.765456516786571e-11,2.765456516786571e-11,6.536226694094426e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
13,1,0.19250632455532035,0.2625,1.0,0.0,-2.3016664134504897e-10,-2.8518770329361512e-11,-2.8518770329361512e-11,-1.714006903633343e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
14,1,0.19750632455532036,0.2625,1.0,0.0,8.709522632514393e-10,-2.765456516786571e-11,-2.765456516786571e-11,6.485814726340505e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
15,1,0.19750632455532036,0.2675,1.0,0.0,8.777218703498231e-10,2.765456516786571e-11,2.765456516786571e-11,6.536226694094426e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
16,1,0.19750632455532036,0.2725,1.0,0.0,8.709522632514393e-10,-2.765456516786571e-11,-2.765456516786571e-11,6.485814726340505e-10,0.0,0.0,0.0,0.0,2.5e-05,0.025,1000.0,100000000.0,0.3
